cathode TotalCurrent(SSE_n44_des) X,cathode TotalCurrent(SSE_n44_des) Y,cathode TotalCurrent(SSE_n45_des) X,cathode TotalCurrent(SSE_n45_des) Y,cathode TotalCurrent(SSE_n47_des) X,cathode TotalCurrent(SSE_n47_des) Y,cathode TotalCurrent(SSE_n48_des) X,cathode TotalCurrent(SSE_n48_des) Y
1.0286693e-11,5.6458614e-05,1.0286693e-11,5.6513753e-05,1.0286693e-11,5.5745382e-05,1.0286693e-11,5.9399827e-05
1.0386693e-11,5.7719361e-05,1.0386693e-11,5.7792457e-05,1.0386693e-11,5.7030612e-05,1.0386693e-11,6.095924e-05
1.0486693e-11,5.8894709e-05,1.0486693e-11,5.8986895e-05,1.0486693e-11,5.8234106e-05,1.0486693e-11,6.244541e-05
1.0586693e-11,5.9980791e-05,1.0586693e-11,6.0093118e-05,1.0586693e-11,5.9351799e-05,1.0586693e-11,6.3853183e-05
1.0686693e-11,6.0974459e-05,1.0686693e-11,6.1107881e-05,1.0686693e-11,6.0380295e-05,1.0686693e-11,6.5177959e-05
1.0786693e-11,6.1873299e-05,1.0786693e-11,6.2028659e-05,1.0786693e-11,6.1316894e-05,1.0786693e-11,6.6415733e-05
1.0886693e-11,6.2675644e-05,1.0886693e-11,6.2853661e-05,1.0886693e-11,6.2159601e-05,1.0886693e-11,6.7563121e-05
1.0986693e-11,6.3380562e-05,1.0986693e-11,6.3581822e-05,1.0986693e-11,6.2907127e-05,1.0986693e-11,6.8617376e-05
1.1086693e-11,6.3987849e-05,1.1086693e-11,6.4212795e-05,1.1086693e-11,6.3558881e-05,1.1086693e-11,6.9576402e-05
1.1186693e-11,6.4497996e-05,1.1186693e-11,6.474692e-05,1.1186693e-11,6.411495e-05,1.1186693e-11,7.0438754e-05
1.1286693e-11,6.4912161e-05,1.1286693e-11,6.51852e-05,1.1286693e-11,6.4576069e-05,1.1286693e-11,7.1203633e-05
1.1386693e-11,6.5232119e-05,1.1386693e-11,6.5529251e-05,1.1386693e-11,6.4943588e-05,1.1386693e-11,7.1870871e-05
1.1486693e-11,6.5460218e-05,1.1486693e-11,6.5781263e-05,1.1486693e-11,6.5219426e-05,1.1486693e-11,7.2440905e-05
1.1586693e-11,6.5599321e-05,1.1586693e-11,6.5943941e-05,1.1586693e-11,6.5406027e-05,1.1586693e-11,7.2914754e-05
1.1686693e-11,6.5652747e-05,1.1686693e-11,6.602045e-05,1.1686693e-11,6.55063e-05,1.1686693e-11,7.3293984e-05
1.1786693e-11,6.5624209e-05,1.1786693e-11,6.6014354e-05,1.1786693e-11,6.5523568e-05,1.1786693e-11,7.3580663e-05
1.1886693e-11,6.5517749e-05,1.1886693e-11,6.5929557e-05,1.1886693e-11,6.5461507e-05,1.1886693e-11,7.3777323e-05
1.1986693e-11,6.5337679e-05,1.1986693e-11,6.5770238e-05,1.1986693e-11,6.5324091e-05,1.1986693e-11,7.3886909e-05
1.2086693e-11,6.5088514e-05,1.2086693e-11,6.5540792e-05,1.2086693e-11,6.5115528e-05,1.2086693e-11,7.3912731e-05
1.2186693e-11,6.4774917e-05,1.2186693e-11,6.5245771e-05,1.2186693e-11,6.4840205e-05,1.2186693e-11,7.3858416e-05
1.2286693e-11,6.4401638e-05,1.2286693e-11,6.4889829e-05,1.2286693e-11,6.4502637e-05,1.2286693e-11,7.372785e-05
